DESTIONATION,DETAILS,PRICE
Na Pali Coast,"Na Pali Coast: Located in Kauai, Hawaii, Na Pali Coast is a stunning coastline that features dramatic sea cliffs, lush green valleys, and hidden beaches. It is a popular destination for hiking, kayaking, and boat tours.",200$
Pololu Valley,"Pololu Valley: Located on the north coast of the Big Island of Hawaii, Pololu Valley is a beautiful valley that is surrounded by steep cliffs and features a black sand beach. It is a popular destination for hiking and scenic drives.",300$
Waimea Canyon,"Waimea Canyon: Also known as the Grand Canyon of the Pacific, Waimea Canyon is located on the island of Kauai, Hawaii. It is a stunning natural wonder that features deep canyons, colorful cliffs, and lush green forests. It is a popular destination for hiking and scenic drives.",250$
Rocky Mountain National Park,"Rocky Mountain National Park: Located in Colorado, Rocky Mountain National Park is a natural wonder that features soaring peaks, alpine lakes, and vast forests. It is a popular destination for hiking, camping, and wildlife viewing.",400$
Maroon Bells,"Maroon Bells: Located in the Elk Mountains of Colorado, the Maroon Bells are two peaks that are surrounded by stunning alpine scenery. It is a popular destination for hiking, photography, and scenic drives.",500$
Garden of the Gods,"Garden of the Gods: Located in Colorado Springs, Colorado, Garden of the Gods is a stunning natural wonder that features towering red rock formations. It is a popular destination for hiking, rock climbing, and photography.",524$
Yosemite National Park,"Yosemite National Park: Located in California, Yosemite National Park is a breathtaking natural wonder that features towering granite cliffs, thundering waterfalls, and vast meadows. It is a popular destination for hiking, camping, and wildlife viewing.",327$
Big Sur,"Big Sur: Located on the central coast of California, Big Sur is a rugged stretch of coastline that features towering cliffs, hidden beaches, and beautiful redwood forests. It is a popular destination for hiking, camping, and scenic drives.",768$
San Francisco,"San Francisco: Located in northern California, San Francisco is a vibrant city that is known for its iconic landmarks, including the Golden Gate Bridge, Alcatraz Island, and Fisherman's Wharf. It is a popular destination for sightseeing, shopping, and dining.",912$
Crater Lake National Park,"Crater Lake National Park: Located in Oregon, Crater Lake National Park is a stunning natural wonder that features a deep blue lake that was formed by a volcanic eruption. It is a popular destination for hiking, camping, and scenic drives.",293$
Columbia River Gorge,"Columbia River Gorge: Located in Oregon and Washington, the Columbia River Gorge is a stunning river canyon that features towering cliffs, thundering waterfalls, and beautiful forests. It is a popular destination for hiking, sightseeing, and photography.",558$
Cannon Beach,"Cannon Beach: Located on the Oregon coast, Cannon Beach is a beautiful seaside town that features a stunning beach that is known for its iconic Haystack Rock. It is a popular destination for beachcombing, hiking, and sightseeing.",145$
Niagara Falls,"Niagara Falls: Located on the border of Ontario, Canada, and New York, United States, Niagara Falls is a breathtaking natural wonder that features thundering waterfalls and stunning views. It is a popular destination for sightseeing, boat tours, and outdoor activities.",667$
Quebec City,"Quebec City: Located in Quebec, Canada, Quebec City is a charming and historic city that features stunning architecture, cobblestone streets, and a beautiful old town. It is a popular destination for sightseeing, shopping, and dining.",830$
Vancouver,"Vancouver: Located in British Columbia, Canada, Vancouver is a vibrant city that features stunning natural beauty, including mountains, beaches, and forests. It is a popular destination for sightseeing, outdoor activities, and dining.",443$
Norwegian Fjords,"Norwegian Fjords: Located in Norway, the Norwegian Fjords are a stunning natural wonder that features towering cliffs, deep blue waters, and beautiful forests. It is a popular destination for hiking, kayaking, and scenic cruises.",652$
Stockholm,"Stockholm: Located in Sweden, Stockholm is a beautiful city that features stunning architecture, historic landmarks, and beautiful waterways. It is a popular destination for sightseeing, shopping, and dining.",187$
Isle of Skye,"Isle of Skye: Located in Scotland, the Isle of Skye is a stunning island that features rugged landscapes, beautiful beaches, and historic landmarks. It is a popular destination for hiking, sightseeing, and photography.",723$
Krakow,"Krakow: Located in Poland, Krakow is a historic city that features beautiful architecture, charming streets, and a rich cultural heritage. It is a popular destination for sightseeing, shopping, and dining.",579$
Brasov,"Brasov: Located in Romania, Brasov is a beautiful city that features stunning architecture, historic landmarks, and beautiful landscapes. It is a popular destination for sightseeing, hiking, and winter sports.",265$
Vilnius,"Vilnius: Located in Lithuania, Vilnius is a charming city that features beautiful architecture, historic landmarks, and a vibrant cultural scene. It is a popular destination for sightseeing, shopping, and dining.",384$
Santorini,"Santorini: Located in Greece, Santorini is a stunning island that features beautiful white-washed buildings, turquoise waters, and stunning sunsets. It is a popular destination for sightseeing, beachcombing, and romantic getaways.",856$
Dubrovnik,"Dubrovnik: Located in Croatia, Dubrovnik is a beautiful city that features stunning architecture, historic landmarks, and a beautiful coastline. It is a popular destination for sightseeing, beachcombing, and boat tours.",559$
Pompeii,"Pompeii: Located in Italy, Pompeii is an ancient Roman city that was buried by the eruption of Mount Vesuvius. It is a popular destination for sightseeing and learning about ancient history.",638$
Paris,"Paris: Located in France, Paris is a romantic and historic city that features stunning architecture, iconic landmarks, and world-class museums. It is a popular destination for sightseeing, shopping, and dining.",310$
Amsterdam,"Amsterdam: Located in the Netherlands, Amsterdam is a charming city that features beautiful canals, historic landmarks, and a vibrant cultural scene. It is a popular destination for sightseeing, shopping, and dining.",798$
Barcelona,"Barcelona: Located in Spain, Barcelona is a vibrant city that features stunning architecture, historic landmarks, and beautiful beaches. It is a popular destination for sightseeing, beachcombing, and dining.",483$
Budapest,"Budapest: Located in Hungary, Budapest is a beautiful city that features stunning architecture, historic landmarks, and beautiful waterways. It is a popular destination for sightseeing, shopping, and dining.",619$
Vienna,"Vienna: Located in Austria, Vienna is a beautiful city that features stunning architecture, historic landmarks, and a rich cultural heritage. It is a popular destination for sightseeing, shopping, and dining.",415$
Prague,"Prague: Located in the Czech Republic, Prague is a historic city that features stunning architecture, beautiful landmarks, and a vibrant cultural scene. It is a popular destination for sightseeing, shopping, and dining.",953$
Marrakech,"Marrakech: Located in Morocco, Marrakech is a vibrant city that features beautiful architecture, historic landmarks, and a rich cultural heritage. It is a popular destination for sightseeing, shopping, and dining.",105$
Pyramids of Giza,"Pyramids of Giza: Located in Egypt, the Pyramids of Giza are ancient wonders that feature stunning architecture and a rich cultural history. They are a popular destination for sightseeing and learning about ancient history.",743$
Sahara Deserts,"Sahara Desert: Located in North Africa, the Sahara Desert is a stunning natural wonder that features vast sand dunes, beautiful landscapes, and a unique cultural heritage. It is a popular destination for desert safaris, stargazing, and cultural tours.",218$
Serengeti National Park,"Serengeti National Park: Located in Tanzania, Serengeti National Park is a breathtaking natural wonder that features endless savannahs, diverse wildlife, and a unique cultural heritage. It is a popular destination for wildlife safaris, hot air balloon rides, and cultural tours.",991$
Mount Kilimanjaro,"Mount Kilimanjaro: Located in Tanzania, Mount Kilimanjaro is the highest peak in Africa and a popular destination for hiking and climbing.",754$
Zanzibar,"Zanzibar: Located off the coast of Tanzania, Zanzibar is a beautiful island that features stunning beaches, historic landmarks, and a rich cultural heritage. It is a popular destination for beachcombing, water sports, and cultural tours.",423$
Cape Town,"Cape Town: Located in South Africa, Cape Town is a stunning city that features beautiful beaches, historic landmarks, and a vibrant cultural scene. It is a popular destination for sightseeing, beachcombing, and cultural tours.",576$
Okavango Delta,"Okavango Delta: Located in Botswana, the Okavango Delta is a unique natural wonder that features a diverse range of wildlife and stunning landscapes. It is a popular destination for wildlife safaris, boat tours, and cultural tours.",268$
Table Mountain,"Table Mountain: Located in South Africa, Table Mountain is a stunning natural wonder that features beautiful landscapes and stunning views of the city of Cape Town. It is a popular destination for hiking, sightseeing, and cultural tours.",983$
Dakar,"Dakar: Located in Senegal, Dakar is a vibrant city that features stunning architecture, beautiful beaches, and a rich cultural heritage. It is a popular destination for sightseeing, beachcombing, and cultural tours.",144$
Cape Verde,"Cape Verde: Located off the coast of West Africa, Cape Verde is a beautiful archipelago that features stunning beaches, diverse wildlife, and a unique cultural heritage. It is a popular destination for beachcombing, water sports, and cultural tours.",637$
Ghana's Gold Coast,"Ghana's Gold Coast: Located in Ghana, the Gold Coast features stunning beaches, historic landmarks, and a rich cultural heritage. It is a popular destination for beachcombing, water sports, and cultural tours.",362$
Dzanga-Sangha National Park,"Dzanga-Sangha National Park: Located in the Central African Republic, Dzanga-Sangha National Park is a stunning natural wonder that features diverse wildlife, beautiful landscapes, and a unique cultural heritage. It is a popular destination for wildlife safaris, hiking, and cultural tours.",763$
Lake Kivu,"Lake Kivu: Located in Rwanda, Lake Kivu is a beautiful lake that features stunning landscapes, beautiful beaches, and a unique cultural heritage. It is a popular destination for water sports, beachcombing, and cultural tours.",528$
Zinga Beach,"Zinga Beach: Located in Tanzania, Zinga Beach is a beautiful beach that features stunning landscapes and a unique cultural heritage. It is a popular destination for beachcombing, water sports, and cultural tours.",704$
Lake Baikal,"Lake Baikal: Located in Russia, Lake Baikal is a stunning natural wonder that features crystal-clear waters, diverse wildlife, and beautiful landscapes. It is a popular destination for hiking, wildlife safaris, and cultural tours.",916$
Gobi Desert,"Gobi Desert: Located in Mongolia, the Gobi Desert is a stunning natural wonder that features vast sand dunes, diverse wildlife, and beautiful landscapes. It is a popular destination for desert safaris, stargazing, and cultural tours.",875$
Kungur Ice Cave,"Kungur Ice Cave: Located in Russia, Kungur Ice Cave is a breathtaking natural wonder that features stunning ice formations and beautiful landscapes. It is a popular destination for sightseeing and cultural tours.",351$
Mount Fuji,"Mount Fuji: Located in Japan, Mount Fuji is a stunning natural wonder that features beautiful landscapes and a unique cultural heritage. It is a popular destination for hiking, sightseeing, and cultural tours.",424$
The Greate Wall of China,"The Great Wall of China: Located in China, the Great Wall is an iconic landmark that features stunning architecture and a rich cultural history. It is a popular destination for sightseeing and learning about ancient history.",456$
Taipei 101,"Taipei 101: Located in Taiwan, Taipei 101 is a skyscraper that features stunning architecture and breathtaking views of the city. It is a popular destination for sightseeing and shopping.",619$
Taj Mahal,"Taj Mahal: Located in India, the Taj Mahal is a stunning mausoleum that features beautiful architecture and a rich cultural history. It is a popular destination for sightseeing and learning about ancient history.",103$
The Maldives,"The Maldives: Located in the Indian Ocean, the Maldives is a beautiful archipelago that features stunning beaches, crystal-clear waters, and a unique cultural heritage. It is a popular destination for beachcombing, water sports, and cultural tours.",502$
Sigiriya,"Sigiriya: Located in Sri Lanka, Sigiriya is an ancient fortress that features stunning architecture and a rich cultural history. It is a popular destination for sightseeing and learning about ancient history.",618$
Petra,"Petra: Located in Jordan, Petra is an ancient city that features beautiful architecture and a rich cultural history. It is a popular destination for sightseeing and learning about ancient history.",876$
Cappadocia,"Cappadocia: Located in Turkey, Cappadocia is a stunning natural wonder that features beautiful landscapes and a unique cultural heritage. It is a popular destination for hot air balloon rides, hiking, and cultural tours.",293$
Dubai,"Dubai: Located in the United Arab Emirates, Dubai is a vibrant city that features stunning architecture, beautiful beaches, and a rich cultural heritage. It is a popular destination for sightseeing, shopping, and beachcombing.",650$
Samarkand,"Samarkand: Located in Uzbekistan, Samarkand is an ancient city that features beautiful architecture and a rich cultural history. It is a popular destination for sightseeing and learning about ancient history.",148$
Almaty,"Almaty: Located in Kazakhstan, Almaty is a stunning city that features beautiful architecture, stunning landscapes, and a unique cultural heritage. It is a popular destination for sightseeing, skiing, and cultural tours.",437$
Dushanbe,"Dushanbe: Located in Tajikistan, Dushanbe is a vibrant city that features stunning architecture, beautiful parks, and a rich cultural heritage. It is a popular destination for sightseeing and cultural tours.",764$
Kakadu National Park,"Kakadu National Park: Located in Australia, Kakadu National Park is a stunning natural wonder that features diverse wildlife, beautiful landscapes, and a unique cultural heritage. It is a popular destination for wildlife safaris, hiking, and cultural tours.",174$
Ningaloo Reef,"Ningaloo Reef: Located in Australia, Ningaloo Reef is a beautiful reef that features stunning coral formations and diverse marine life. It is a popular destination for snorkeling, diving, and beachcombing.",907$
Cable Beach,"Cable Beach: Located in Australia, Cable Beach is a stunning beach that features beautiful landscapes and crystal-clear waters. It is a popular destination for beachcombing, water sports, and cultural tours.",732$
Sydney Opera House,"Sydney Opera House: Located in Australia, the Sydney Opera House is a stunning landmark that features beautiful architecture and a rich cultural history. It is a popular destination for sightseeing and learning about the arts.",200$
Blue Mountains National Park,"Blue Mountains National Park: Located in Australia, the Blue Mountains National Park is a beautiful park that features stunning landscapes and diverse wildlife. It is a popular destination for hiking, wildlife safaris, and cultural tours.",818$
Fraser Island,"Fraser Island: Located in Australia, Fraser Island is a stunning natural wonder that features beautiful landscapes and diverse wildlife. It is a popular destination for hiking, wildlife safaris, and beachcombing.",277$
Great Ocean Road,"Great Ocean Road: Located in Australia, the Great Ocean Road is a scenic drive that features stunning coastal landscapes and beautiful beaches. It is a popular destination for sightseeing and beachcombing.",953$
Kangaroo Island,"Kangaroo Island: Located in Australia, Kangaroo Island is a stunning natural wonder that features diverse wildlife, beautiful landscapes, and crystal-clear waters. It is a popular destination for wildlife safaris, beachcombing, and cultural tours.",564$
Yorke Peninsula,"Yorke Peninsula: Located in Australia, the Yorke Peninsula is a beautiful peninsula that features stunning coastal landscapes and a unique cultural heritage. It is a popular destination for beachcombing, water sports, and cultural tours.",436$
Purnululu National Park,"Purnululu National Park: Located in Australia, Purnululu National Park is a stunning natural wonder that features beautiful landscapes and unique geological formations. It is a popular destination for hiking and sightseeing.",301$
Coral Bay,"Coral Bay: Located in Australia, Coral Bay is a stunning beach that features beautiful coral reefs and diverse marine life. It is a popular destination for snorkeling, diving, and beachcombing.",621$
Esperance,"Esperance: Located in Australia, Esperance is a beautiful coastal town that features stunning beaches and crystal-clear waters. It is a popular destination for beachcombing, water sports, and cultural tours.",858$
Kings Canyon,"Kings Canyon: Located in Australia, Kings Canyon is a stunning natural wonder that features beautiful landscapes and unique geological formations. It is a popular destination for hiking and sightseeing.",479$
Alice Springs,"Alice Springs: Located in Australia, Alice Springs is a vibrant town that features stunning landscapes, diverse wildlife, and a unique cultural heritage. It is a popular destination for sightseeing, hiking, and cultural tours.",141$
Palm Valley,"Palm Valley: Located in Australia, Palm Valley is a stunning natural wonder that features unique geological formations and diverse wildlife. It is a popular destination for hiking and sightseeing.",648$